osm_type,osm_id,name,brand,lat,lon
node,9312167481,Petrol Ofisi Bahçelievler Mehmet Akif,Petrol Ofisi,41.002278,28.8829966
node,9312170590,Petrol Ofisi,Petrol Ofisi,41.0795466,28.62606
node,9312170591,Shell,Shell,41.079205,28.6248376
node,9312187482,Shell Florya,Shell,40.9725654,28.7899492
node,9312187483,Opet Küçükçekmece Gültepe,Opet,40.9929402,28.793514
node,9312199669,Petrol Ofisi Zeytinburnu Maltepe,Petrol Ofisi,41.0151848,28.9078086
node,9312199670,Opet Zeytinburnu Merkezefendi,Opet,41.0162795,28.9116473
node,9312199671,Shell,Shell,41.0167833,28.9128377
node,9312859986,Total Atakent,TotalEnergies,41.0612672,28.7767168
node,9312867385,Opet,Opet,41.0996573,28.7666233
node,9312871375,Shell Ataköy Sahil,Shell,40.9743342,28.8740989
node,9312874511,Shell,Shell,41.0538729,28.8664719
node,9312874512,Aytemiz,Aytemiz,41.0546792,28.8639486
node,9312905236,Shell,Shell,41.0841918,28.9783031
node,9312905237,Opet Kağıthane,Opet,41.0889002,28.9849858
node,9312905238,Shell,Shell,41.0937938,28.9927287
node,9312906913,Opet Beyoğlu,Opet,41.0383282,28.9567532
node,9312906914,Aytemiz,Aytemiz,41.0585181,28.9657014
node,9312925430,Total,TotalEnergies,41.0449576,29.1771714
node,9398672062,Opet,Opet,41.069683,28.8251047
node,9548958715,BP Avcılar,BP,40.9954061,28.7046971
node,9548958716,Opet,Opet,41.0005436,28.6914835
node,9548982817,Shell,Shell,41.0093769,28.7014502
node,9548982818,Total,TotalEnergies,41.01155,28.698086
node,9549151422,Petrol Ofisi,Petrol Ofisi,41.0374652,28.9257148
node,9549153211,Shell,Shell,41.0395929,28.9113175
node,9549572617,Petrol Ofisi,Petrol Ofisi,41.071343,28.8679143
node,9549600017,Petrol Ofisi,Petrol Ofisi,41.0870737,28.8689191
node,9550991677,Opet,Opet,41.0367809,28.8872845
node,9551014699,Opet,Opet,41.0456765,28.9313796
node,9551045187,BP,BP,41.0562456,28.8756497
node,9551068442,Shell,Shell,41.1402781,28.7728915
node,9657144610,,,41.1911652,28.3997145
node,9809647732,Opet,Opet,41.0348065,28.7668233
node,9809647745,Petrol Ofisi,Petrol Ofisi,41.0145162,28.768116
node,10282037429,SOCAR,SOCAR,41.2478541,28.7521214
node,10310472766,Petrol Ofisi,Petrol Ofisi,41.011561,28.679358
node,10564354703,,,41.2033847,28.7597825
node,10772615935,Petrol Ofisi,Petrol Ofisi,40.8690844,29.3347683
node,10817053541,BP,BP,41.1317235,28.2300993
node,10907090065,Shell,Shell,41.2558857,28.0363503
node,10923543911,,,41.0059156,28.6596976
node,11044421379,Shell,Shell,41.069131,28.8108143
node,11048382462,Sunpet,,41.2318491,28.5996615
node,11091390421,BP,BP,41.1331951,28.2313504
node,11127294727,Shell,Shell,41.0166336,28.9550416
node,11176613539,Petrol Ofisi,Petrol Ofisi,41.1291236,29.8533349
node,11232727522,Opet,Opet,41.0191556,28.9178318
node,11251039127,Petrol Ofisi,Petrol Ofisi,41.0195398,28.6294897
node,11329071121,,,41.0508416,28.0555739
node,11331739897,Opet Kadıköy,Opet,40.9705543,29.1009385
node,11405572353,BP,BP,41.014193,28.8420492
node,11409079450,Opet,Opet,41.0037021,28.9499428
node,11491643319,,,40.9827619,29.6657486
node,11549900108,,,41.0847966,29.3322251
node,11578262694,Petrol Ofisi,Petrol Ofisi,40.8807816,29.2499652
node,11578383440,Petrol Ofisi,Petrol Ofisi,40.9884588,29.1455518
node,11578580141,Opet,Opet,40.9841631,29.0569144
node,11586204358,BP,BP,40.9912822,28.9195654
node,11586204359,Shell,Shell,41.0022429,28.9198623
node,11586204363,Shell,Shell,41.028186,28.899395
node,11586204364,Shell,Shell,41.0280911,28.9007152
node,11586204367,Shell,Shell,41.0340694,28.8969993
node,11586206717,Opet Maltepe,Opet,40.9290485,29.1462548
node,11586206756,Shell Express,Shell Express,41.0330705,29.1107764
node,11586230277,Shell,Shell,41.0205482,29.1296114
node,11586239235,Opet,Opet,41.0544147,29.0337873
node,11586239236,BP,BP,41.0738872,29.0159579
node,11586239237,Shell,Shell,41.0698742,29.0152452
node,11586243850,BP,BP,41.030962,28.814632
node,11586251541,BP,BP,41.0244923,28.8283443
node,11586254469,Petrol Ofisi,Petrol Ofisi,41.0365006,28.8937404
node,11586254470,Petrol Ofisi,Petrol Ofisi,41.0426227,28.8959656
node,11586254471,Petrol Ofisi,Petrol Ofisi,41.0405545,28.9117371
node,11586794393,Petrol Ofisi,Petrol Ofisi,41.0296484,28.8668127
node,11586797677,BP,BP,41.0391741,28.9173024
node,11586797679,Petrol Ofisi,Petrol Ofisi,41.0386246,28.9217428
node,11586797681,Türkiye Petrolleri,Türkiye Petrolleri,41.0416669,28.9199626
node,11586797684,BP,BP,41.04616,28.9154492
node,11586797691,Aytemiz,Aytemiz,41.0581266,28.9062807
node,11586797692,Petrol Ofisi,Petrol Ofisi,41.0618394,28.9023144
node,11586843989,BP,BP,41.0501035,28.8998117
node,11586843991,BP,BP,41.0557261,28.896849
node,11586843992,Total,TotalEnergies,41.0610413,28.8921509
node,11586843994,BP,BP,41.0729681,28.8867081
node,11586843995,Total,TotalEnergies,41.0761488,28.8807542
node,11586879391,Petrol Ofisi,Petrol Ofisi,41.0785749,28.9720234
node,11586900365,Aytemiz,Aytemiz,41.089917,28.8831084
node,11586900367,Shell,Shell,41.0912923,28.8843124
